ccmsId,parametro,detalle
998750,COMEDOR TP1,183
1055705,COMEDOR TP1,91
2359622,COMEDOR TP2,150
863595,COMEDOR TP2,121
999482,COMEDOR CVO,1157
3337917,COMEDOR CVO,1120
3374017,BONO CLIENTE,20
2675916,BONO RAF,1750
999444,COMEDOR CVO,1079
3649272,COMEDOR CVO,927
2606173,COMEDOR CVO,853
3299055,COMEDOR CVO,842
2982297,COMEDOR CVO,802
2414765,COMEDOR CVO,776
3020634,COMEDOR CVO,772
998506,COMEDOR CVO,771
3649278,COMEDOR CVO,741
3649276,COMEDOR CVO,731
666052,COMEDOR CVO,691.5
3245632,COMEDOR CVO,664.5
2782218,COMEDOR CVO,661
1583342,COMEDOR CVO,658.5
3199491,COMEDOR CVO,656
3361592,COMEDOR CVO,654
3091558,COMEDOR CVO,637
1796503,COMEDOR CVO,636
1351485,COMEDOR CVO,619
2734170,COMEDOR CVO,607
943655,COMEDOR CVO,598
2494051,COMEDOR CVO,592
1916373,COMEDOR CVO,582
