EMPLEADO,REG,CONCEPTO,ACCION,UNIDAD,IMPORTE,PORCENTAJE,FECHA,SEMANA,FECHA_INI,FECHA_FIN,DURACION,FOLIO,CONSECUENCIA,CONTROL
1000014,0,DIAS AGENDAD,O,1,,,01/09/2019,,,,,,,
1000014,0,DIAS AGENDAD,O,1,,,19/08/2019,,,,,,,
1000014,0,DIAS AGENDAD,O,1,,,20/08/2019,,,,,,,
1000014,0,DIAS AGENDAD,O,1,,,21/08/2019,,,,,,,
1000014,0,DIAS AGENDAD,O,1,,,22/08/2019,,,,,,,
1000014,0,DIAS AGENDAD,O,1,,,23/08/2019,,,,,,,
1000014,0,DIAS AGENDAD,O,1,,,24/08/2019,,,,,,,
1000014,0,DIAS AGENDAD,O,1,,,25/08/2019,,,,,,,
1000014,0,DIAS AGENDAD,O,1,,,26/08/2019,,,,,,,
1000014,0,DIAS AGENDAD,O,1,,,27/08/2019,,,,,,,
1000014,0,DIAS AGENDAD,O,1,,,28/08/2019,,,,,,,
1000014,0,DIAS AGENDAD,O,1,,,29/08/2019,,,,,,,
1000014,0,DIAS AGENDAD,O,1,,,30/08/2019,,,,,,,
1000014,0,DIAS AGENDAD,O,1,,,31/08/2019,,,,,,,
1000014,0,DIAS TRABA,O,1,,,,,,,,,,
1006526,0,DIAS AGENDAD,O,1,,,01/09/2019,,,,,,,
1006526,0,DIAS AGENDAD,O,1,,,19/08/2019,,,,,,,
1006526,0,DIAS AGENDAD,O,1,,,20/08/2019,,,,,,,
1006526,0,DIAS AGENDAD,O,1,,,21/08/2019,,,,,,,
1006526,0,DIAS AGENDAD,O,1,,,22/08/2019,,,,,,,
1006526,0,DIAS AGENDAD,O,1,,,23/08/2019,,,,,,,
1006526,0,DIAS AGENDAD,O,1,,,24/08/2019,,,,,,,
1006526,0,DIAS AGENDAD,O,1,,,25/08/2019,,,,,,,
1006526,0,DIAS AGENDAD,O,1,,,26/08/2019,,,,,,,
1006526,0,DIAS AGENDAD,O,1,,,27/08/2019,,,,,,,
1006526,0,DIAS AGENDAD,O,1,,,28/08/2019,,,,,,,
