EMPLEADO,CONCEPTO,ACCION,UNIDAD,IMPORTE,PORCENTAJE,FECHA,INICIO,FIN,FOLIO,CONSECUENCIA,CONTROL,SEMANA
2715909,ANT DIVERSOS,,,1,,,,,,,,
665433,BONO C,,,1,,,,,,,,
665495,BONO C,,,1,,,,,,,,
665602,BONO C,,,1,,,,,,,,
665602,BONO C,,,1,,,,,,,,
665983,BONO C,,,1,,,,,,,,
666053,BONO C,,,1,,,,,,,,
667269,BONO C,,,1,,,,,,,,
668261,BONO C,,,1,,,,,,,,
693676,BONO C,,,1,,,,,,,,
698158,BONO C,,,1,,,,,,,,
458816,BONO CLIENTE,,,1,,,,,,,,
418191,BONO DESEMPE,,,1,,,,,,,,
425672,BONO DESEMPE,,,1,,,,,,,,
458735,BONO DESEMPE,,,1,,,,,,,,
458738,BONO DESEMPE,,,1,,,,,,,,
458741,BONO DESEMPE,,,1,,,,,,,,
458768,BONO DESEMPE,,,1,,,,,,,,
458816,BONO DESEMPE,,,1,,,,,,,,
458840,BONO DESEMPE,,,1,,,,,,,,
506652,BONO DESEMPE,,,1,,,,,,,,
524025,BONO DESEMPE,,,1,,,,,,,,
594941,BONO DESEMPE,,,1,,,,,,,,
650042,BONO DESEMPE,,,1,,,,,,,,
650047,BONO DESEMPE,,,1,,,,,,,,
666133,BONO DESEMPE,,,1,,,,,,,,
666297,BONO DESEMPE,,,1,,,,,,,,
666456,BONO DESEMPE,,,1,,,,,,,,
666594,BONO DESEMPE,,,1,,,,,,,,
666607,BONO DESEMPE,,,1,,,,,,,,
666665,BONO DESEMPE,,,1,,,,,,,,
666711,BONO DESEMPE,,,1,,,,,,,,
666717,BONO DESEMPE,,,1,,,,,,,,
666727,BONO DESEMPE,,,1,,,,,,,,
666734,BONO DESEMPE,,,1,,,,,,,,
666791,BONO DESEMPE,,,1,,,,,,,,
666991,BONO DESEMPE,,,1,,,,,,,,
667112,BONO DESEMPE,,,1,,,,,,,,
667119,BONO DESEMPE,,,1,,,,,,,,
667252,BONO DESEMPE,,,1,,,,,,,,
667290,BONO DESEMPE,,,1,,,,,,,,
667633,BONO DESEMPE,,,1,,,,,,,,
667708,BONO DESEMPE,,,1,,,,,,,,
667814,BONO DESEMPE,,,1,,,,,,,,
669620,BONO DESEMPE,,,1,,,,,,,,
687111,BONO DESEMPE,,,1,,,,,,,,
698158,BONO DESEMPE,,,1,,,,,,,,
699585,BONO DESEMPE,,,1,,,,,,,,
699597,BONO DESEMPE,,,1,,,,,,,,
721625,BONO DESEMPE,,,1,,,,,,,,
727499,BONO DESEMPE,,,1,,,,,,,,
796534,BONO DESEMPE,,,1,,,,,,,,
801661,BONO DESEMPE,,,1,,,,,,,,
801729,BONO DESEMPE,,,1,,,,,,,,
823161,BONO DESEMPE,,,1,,,,,,,,
828418,BONO DESEMPE,,,1,,,,,,,,
891598,BONO DESEMPE,,,1,,,,,,,,
906626,BONO DESEMPE,,,1,,,,,,,,
990081,BONO DESEMPE,,,1,,,,,,,,
996897,BONO DESEMPE,,,1,,,,,,,,
996967,BONO DESEMPE,,,1,,,,,,,,
1087218,BONO DESEMPE,,,1,,,,,,,,
1107468,BONO DESEMPE,,,1,,,,,,,,
1146707,BONO DESEMPE,,,1,,,,,,,,
1150435,BONO DESEMPE,,,1,,,,,,,,
1166042,BONO DESEMPE,,,1,,,,,,,,
1166075,BONO DESEMPE,,,1,,,,,,,,
1166244,BONO DESEMPE,,,1,,,,,,,,
1171484,BONO DESEMPE,,,1,,,,,,,,
1173406,BONO DESEMPE,,,1,,,,,,,,
1180317,BONO DESEMPE,,,1,,,,,,,,
1180715,BONO DESEMPE,,,1,,,,,,,,
1183637,BONO DESEMPE,,,1,,,,,,,,
1185060,BONO DESEMPE,,,1,,,,,,,,
1195796,BONO DESEMPE,,,1,,,,,,,,
1206254,BONO DESEMPE,,,1,,,,,,,,
1207055,BONO DESEMPE,,,1,,,,,,,,
1216802,BONO DESEMPE,,,1,,,,,,,,
1218042,BONO DESEMPE,,,1,,,,,,,,
1255416,BONO DESEMPE,,,1,,,,,,,,
1382874,BONO DESEMPE,,,1,,,,,,,,
1420604,BONO DESEMPE,,,1,,,,,,,,
1421038,BONO DESEMPE,,,1,,,,,,,,
1424838,BONO DESEMPE,,,1,,,,,,,,
1427633,BONO DESEMPE,,,1,,,,,,,,
1492381,BONO DESEMPE,,,1,,,,,,,,
1510853,BONO DESEMPE,,,1,,,,,,,,
1512002,BONO DESEMPE,,,1,,,,,,,,
1550801,BONO DESEMPE,,,1,,,,,,,,
1589647,BONO DESEMPE,,,1,,,,,,,,
1663627,BONO DESEMPE,,,1,,,,,,,,
1670297,BONO DESEMPE,,,1,,,,,,,,
1695283,BONO DESEMPE,,,1,,,,,,,,
1880907,BONO DESEMPE,,,1,,,,,,,,
1929334,BONO DESEMPE,,,1,,,,,,,,
2076057,BONO DESEMPE,,,1,,,,,,,,
2139785,BONO DESEMPE,,,1,,,,,,,,
2413556,BONO DESEMPE,,,1,,,,,,,,
2485637,BONO DESEMPE,,,1,,,,,,,,
2519864,BONO DESEMPE,,,1,,,,,,,,
2575687,BONO DESEMPE,,,1,,,,,,,,
2605878,BONO DESEMPE,,,1,,,,,,,,
2653799,BONO DESEMPE,,,1,,,,,,,,
2664826,BONO DESEMPE,,,1,,,,,,,,
2715909,BONO DESEMPE,,,1,,,,,,,,
2715909,BONO DESEMPE,,,1,,,,,,,,
2762941,BONO DESEMPE,,,1,,,,,,,,
2774809,BONO DESEMPE,,,1,,,,,,,,
2805196,BONO DESEMPE,,,1,,,,,,,,
2806921,BONO DESEMPE,,,1,,,,,,,,
2807073,BONO DESEMPE,,,1,,,,,,,,
2834681,BONO DESEMPE,,,1,,,,,,,,
2834681,BONO DESEMPE,,,1,,,,,,,,
2852932,BONO DESEMPE,,,1,,,,,,,,
2853166,BONO DESEMPE,,,1,,,,,,,,
2861427,BONO DESEMPE,,,1,,,,,,,,
2874501,BONO DESEMPE,,,1,,,,,,,,
2910811,BONO DESEMPE,,,1,,,,,,,,
2922261,BONO DESEMPE,,,1,,,,,,,,
2930960,BONO DESEMPE,,,1,,,,,,,,
3112217,BONO DESEMPE,,,1,,,,,,,,
3216511,BONO DESEMPE,,,1,,,,,,,,
3240842,BONO DESEMPE,,,1,,,,,,,,
650494,BONO EXTRA,,,1,,,,,,,,
577208,BONO PER PRU,,,1,,,,,,,,
666386,BONO PER PRU,,,1,,,,,,,,
666665,BONO PER PRU,,,1,,,,,,,,
667721,BONO PER PRU,,,1,,,,,,,,
690595,BONO PER PRU,,,1,,,,,,,,
801661,BONO PER PRU,,,1,,,,,,,,
875177,BONO PER PRU,,,1,,,,,,,,
1090803,BONO PER PRU,,,1,,,,,,,,
1094769,BONO PER PRU,,,1,,,,,,,,
1121972,BONO PER PRU,,,1,,,,,,,,
1180317,BONO PER PRU,,,1,,,,,,,,
1206254,BONO PER PRU,,,1,,,,,,,,
1218042,BONO PER PRU,,,1,,,,,,,,
2139785,BONO PER PRU,,,1,,,,,,,,
2807073,BONO PER PRU,,,1,,,,,,,,
2834681,BONO PER PRU,,,1,,,,,,,,
667119,BONO RAF,,,1,,,,,,,,
721625,BONO RAF,,,1,,,,,,,,
878738,BONO RAF,,,1,,,,,,,,
1185060,BONO RAF,,,1,,,,,,,,
2293525,BONO RAF,,,1,,,,,,,,
3112217,BONO RELOCAL,,,1,,,,,,,,
1121972,BONO TRANS,,,1,,,,,,,,
1642452,PREMIO,,,1,,,,,,,,
458768,SMART FIT,,,1,,,,,,,,
666877,SMART FIT,,,1,,,,,,,,
667658,SMART FIT,,,1,,,,,,,,
667814,SMART FIT,,,1,,,,,,,,
1216802,SMART FIT,,,1,,,,,,,,
1341757,SMART FIT,,,1,,,,,,,,
1735789,SMART FIT,,,1,,,,,,,,
2085585,SMART FIT,,,1,,,,,,,,
2519864,SMART FIT,,,1,,,,,,,,
200293,SUELDO RETRO,,,1,,,,,,,,
627700,SUELDO RETRO,,,1,,,,,,,,
1338588,T EX DOB SEM,,1,,,,,,,,,
117253,FONACOT,,,1,,,,,,,,
425672,FONACOT,,,1,,,,,,,,
458741,FONACOT,,,1,,,,,,,,
458840,FONACOT,,,1,,,,,,,,
577207,FONACOT,,,1,,,,,,,,
665423,FONACOT,,,1,,,,,,,,
665602,FONACOT,,,1,,,,,,,,
666634,FONACOT,,,1,,,,,,,,
666877,FONACOT,,,1,,,,,,,,
667112,FONACOT,,,1,,,,,,,,
667252,FONACOT,,,1,,,,,,,,
699585,FONACOT,,,1,,,,,,,,
822753,FONACOT,,,1,,,,,,,,
903472,FONACOT,,,1,,,,,,,,
996897,FONACOT,,,1,,,,,,,,
1000635,FONACOT,,,1,,,,,,,,
1000908,FONACOT,,,1,,,,,,,,
1183637,FONACOT,,,1,,,,,,,,
1185060,FONACOT,,,1,,,,,,,,
1424240,FONACOT,,,1,,,,,,,,
1492376,FONACOT,,,1,,,,,,,,
1589647,FONACOT,,,1,,,,,,,,
1880907,FONACOT,,,1,,,,,,,,
2521411,FONACOT,,,1,,,,,,,,
2834681,FONACOT,,,1,,,,,,,,
2921871,FONACOT,,,1,,,,,,,,
3216511,FONACOT,,,1,,,,,,,,
801654,FONACOT,,,1,,,,,,,,
117253,COMEDOR CUU,,,1,,,,,,,,
843594,COMEDOR CUU,,,1,,,,,,,,
666717,COMEDOR TPDO,,,1,,,,,,,,
666791,COMEDOR TPDO,,,1,,,,,,,,
666991,COMEDOR TPDO,,,1,,,,,,,,
699597,COMEDOR TPDO,,,1,,,,,,,,
875177,COMEDOR TPDO,,,1,,,,,,,,
875180,COMEDOR TPDO,,,1,,,,,,,,
990088,COMEDOR TPDO,,,1,,,,,,,,
1107680,COMEDOR TPDO,,,1,,,,,,,,
1171484,COMEDOR TPDO,,,1,,,,,,,,
1180715,COMEDOR TPDO,,,1,,,,,,,,
1420604,COMEDOR TPDO,,,1,,,,,,,,
1670297,COMEDOR TPDO,,,1,,,,,,,,
1880907,COMEDOR TPDO,,,1,,,,,,,,
2555112,COMEDOR TPDO,,,1,,,,,,,,
1286941,COMEDOR TP1,,,1,,,,,,,,
656625,COMEDOR TP1,,,1,,,,,,,,
687070,COMEDOR TP1,,,1,,,,,,,,
1359255,COMEDOR TP1,,,1,,,,,,,,
656802,COMEDOR TP2,,,1,,,,,,,,
666361,COMEDOR TP2,,,1,,,,,,,,
666386,COMEDOR TP2,,,1,,,,,,,,
666674,COMEDOR TP2,,,1,,,,,,,,
666297,COMEDOR TP4,,,1,,,,,,,,
666342,COMEDOR TP4,,,1,,,,,,,,
594939,COMEDOR TP4,,,1,,,,,,,,
910754,COMEDOR TP4,,,1,,,,,,,,
650033,COMEDOR TP4,,,1,,,,,,,,
666340,COMEDOR TP4,,,1,,,,,,,,
215321,COMEDOR TP4,,,1,,,,,,,,
686792,COMEDOR TP4,,,1,,,,,,,,
666674,COMEDOR TP4,,,1,,,,,,,,
656647,COMEDOR TP4,,,1,,,,,,,,
667659,COMEDOR TP4,,,1,,,,,,,,
