FolioSolicitud,Cliente_Name,Location_Name
8707,GrubHub,TPMXN Saguaro
8708,Western Union,TPMXN Sierra
8709,Comcast,TPMXN Alpha
8710,Alliance Data,TPMXN Nova
8711,GM Financial,TPMXN Universidad
8712,Western Union,TPMXN Talavera
8713,GrubHub,TPMXN Saguaro
8714,Western Union,TPMXN Sierra
8715,Comcast,TPMXN Alpha
8716,Alliance Data,TPMXN Nova
8717,Comcast,TPMXN Hacienda
8718,Western Union,TPMXN Talavera
8719,Chime Bank,TPMXN Cuauhtemoc
8720,GM Financial,TPMXN Universidad
8721,GrubHub,TPMXN Saguaro
8722,Alliance Data,TPMXN Nova
8723,Western Union,TPMXN Sierra
8724,Western Union,TPMXN Sierra
8725,GM Financial,TPMXN Universidad
8726,Western Union,TPMXN Talavera
8727,Comcast,TPMXN Alpha
8728,Western Union,TPMXN Talavera
8729,Alliance Data,TPMXN Nova
8730,GrubHub,TPMXN Saguaro
8731,GrubHub,TPMXN Saguaro
8732,Chime Bank,TPMXN Cuauhtemoc
8733,Western Union,TPMXN Sierra
8734,Western Union,TPMXN Sierra
8735,Comcast,TPMXN Hacienda
8736,Comcast,TPMXN Alpha
8737,Alliance Data,TPMXN Nova
8738,GrubHub,TPMXN Saguaro
8739,Western Union,TPMXN Talavera
8740,GM Financial,TPMXN Universidad
8741,Western Union,TPMXN Talavera
8742,Comcast,TPMXN Alpha
8743,GrubHub,TPMXN Saguaro
8744,Comcast,TPMXN Hacienda
8745,Alliance Data,TPMXN Nova
8746,GM Financial,TPMXN Universidad
8747,Chime Bank,TPMXN Cuauhtemoc
8748,Western Union,TPMXN Sierra
8749,Chime Bank,TPMXN Cuauhtemoc
8750,GM Financial,TPMXN Universidad
8751,Western Union,TPMXN Sierra
8752,Western Union,TPMXN Talavera
8753,Comcast,TPMXN Alpha
8754,GrubHub,TPMXN Saguaro
8755,GrubHub,TPMXN Saguaro
8756,Alliance Data,TPMXN Nova
8757,Western Union,TPMXN Talavera
8758,GrubHub,TPMXN Saguaro
8759,Comcast,TPMXN Hacienda
8760,Comcast,TPMXN Alpha
8761,Western Union,TPMXN Talavera
8762,Comcast,TPMXN Alpha
8763,Alliance Data,TPMXN Nova
8764,Western Union,TPMXN Sierra
8765,Western Union,TPMXN Sierra
8766,Chime Bank,TPMXN Cuauhtemoc
8767,Comcast,TPMXN Hacienda
8768,Chime Bank,TPMXN Cuauhtemoc
8769,Western Union,TPMXN Talavera
8770,Western Union,TPMXN Sierra
8771,Chime Bank,TPMXN Cuauhtemoc
8772,GrubHub,TPMXN Saguaro
8773,Alliance Data,TPMXN Nova
8774,GM Financial,TPMXN Universidad
8775,Western Union,TPMXN Talavera
8776,GM Financial,TPMXN Universidad
8777,Comcast,TPMXN Hacienda
8778,GrubHub,TPMXN Saguaro
8779,GrubHub,TPMXN Saguaro
8780,Comcast,TPMXN Alpha
8781,Western Union,TPMXN Talavera
8782,GM Financial,TPMXN Universidad
8783,GrubHub,TPMXN Saguaro
8784,Western Union,TPMXN Talavera
8785,Alliance Data,TPMXN Nova
8786,Comcast,TPMXN Alpha
8787,Comcast,TPMXN Alpha
8788,Comcast,TPMXN Alpha
8789,Alliance Data,TPMXN Nova
8790,Western Union,TPMXN Sierra
8791,Comcast,TPMXN Hacienda
8792,Alliance Data,TPMXN Nova
8793,Chime Bank,TPMXN Cuauhtemoc
8793,Chime Bank,TPMXN Cuauhtemoc
8794,Western Union,TPMXN Sierra
8795,GM Financial,TPMXN Universidad
8796,Western Union,TPMXN Talavera
8797,Western Union,TPMXN Sierra
8798,Comcast,TPMXN Hacienda
8799,GrubHub,TPMXN Saguaro
8800,Chime Bank,TPMXN Cuauhtemoc
8801,GrubHub,TPMXN Saguaro
8802,Western Union,TPMXN Sierra
8803,GrubHub,TPMXN Saguaro
8804,Western Union,TPMXN Talavera
8805,Alliance Data,TPMXN Nova
8806,Chime Bank,TPMXN Cuauhtemoc
8807,GM Financial,TPMXN Universidad
8808,Western Union,TPMXN Talavera
8809,Chime Bank,TPMXN Cuauhtemoc
8810,GM Financial,TPMXN Universidad
8811,Western Union,TPMXN Talavera
8812,Comcast,TPMXN Hacienda
8813,Comcast,TPMXN Alpha
8814,Comcast,TPMXN Hacienda
8815,GrubHub,TPMXN Saguaro
8816,Alliance Data,TPMXN Nova
8817,Alliance Data,TPMXN Nova
8818,Comcast,TPMXN Alpha
8819,Western Union,TPMXN Sierra
8820,Western Union,TPMXN Sierra
8821,Comcast,TPMXN Alpha
8822,Alliance Data,TPMXN Nova
8823,Comcast,TPMXN Alpha
8824,Western Union,TPMXN Sierra
8825,GrubHub,TPMXN Saguaro
8826,GM Financial,TPMXN Universidad
8827,Western Union,TPMXN Talavera
